system_slug,system_name,system_description,source_short_title,source_full_title,source_edition,source_year,source_citation,source_url,subject_system_slug,object_system_slug,subject_name,subject_kind,subject_description,object_name,object_kind,object_description,subject_aliases,object_aliases,relation_slug,relation_label,source_locator,note,confidence,variant_group,is_editorial
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Crown,concept,,Keter|כתר|כֶּתֶר,,meaning_of,Meaning,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",1,number,,Keter|כתר|כֶּתֶר,,number_of,Number,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",White Brilliance,color,Golden Dawn Queen Scale color.,Keter|כתר|כֶּתֶר,,color_of,Color,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Eheieh,divine_name,,Keter|כתר|כֶּתֶר,,divine_name_of,Divine Name,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Metatron,angel,,Keter|כתר|כֶּתֶר,,archangel_of,Archangel,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Chayoth ha-Qadesh,angelic_order,,Keter|כתר|כֶּתֶר,,angelic_choir_of,Angelic Choir,Kether Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Holy Living Ones,translation,,Keter|כתר|כֶּתֶר,,angelic_choir_translation_of,Angelic Choir Translation,Kether Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Ambergris,perfume,,Keter|כתר|כֶּתֶר,,perfume_of,Perfume,Kether Correspondences,Listed as scent in the source page.,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",1st Whirlings,celestial_sphere,,Keter|כתר|כֶּתֶר,,planetary_attribution,Attribution,Kether Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Diamond,stone,,Keter|כתר|כֶּתֶר,,stone_of,Stone,Kether Correspondences,,0.95,sephiroth,
